X,Y,Z,RockUnit,Lith Code
6540.7,7200.4,1654.99,1,1
6540.7,7200.4,1639.99,1,1
6540.7,7200.4,1625.64,1,1
6540.7,7200.4,1611.29,3,1
6540.7,7200.4,1596.29,3,1
6540.7,7200.4,1581.29,3,1
6540.7,7200.4,1566.29,3,1
6540.7,7200.4,1551.29,3,1
6540.7,7200.4,1536.29,3,1
6540.7,7200.4,1521.29,2,1
6363.1,7121.6,1601.69,1,1
6363.1,7121.6,1586.69,1,1
6363.1,7121.6,1571.69,1,1
6363.1,7121.6,1556.69,3,1
6363.1,7121.6,1541.69,3,1
6363.1,7121.6,1526.69,3,1
6363.1,7121.6,1511.69,3,1
6363.1,7121.6,1496.69,2,1
6363.1,7121.6,1481.69,2,1
6363.1,7121.6,1466.69,2,1
6363.1,7121.6,1451.69,2,1
6321.3,7252.1,1615.04,1,3
6321.3,7252.1,1600.04,1,3
6321.3,7252.1,1585.04,3,3
6321.3,7252.1,1570.04,3,3
6321.3,7252.1,1555.04,3,3
6321.3,7252.1,1540.04,3,3
6321.3,7252.1,1525.04,3,3
6321.3,7252.1,1510.04,3,3
6321.3,7252.1,1495.04,3,3
6205.96,7106.15,1555.5,1,3
6200.82,7111.29,1542.38,1,3
6217.59,7038.71,1517.68,1,3
6213.12,7037.08,1508.34,1,3
6208.64,7035.45,1498.99,3,3
6202.25,7033.12,1485.63,3,3
6222.12,7034.32,1516.25,1,3
6221.26,7034,1505.8,1,3
6220.4,7033.69,1495.36,3,3
6219.17,7033.24,1480.42,3,3
6217.94,7032.8,1465.47,3,3
6216.85,7032.4,1452.15,3,3
6224.02,7145.87,1578.39,1,3
6215.4,7139.83,1567.86,1,3
6231.51,7142.52,1571.8,1,3
6228.33,7140.29,1557.31,1,3
6225.15,7138.06,1542.82,1,3
6221.97,7135.84,1528.33,1,3
6220.11,7134.54,1519.87,1,3
6218.3,7133.26,1511.59,3,3
6212.76,7139.88,1569.47,1,3
6209.13,7145.07,1555.88,1,3
6205.49,7150.26,1542.28,1,3
6202.11,7155.09,1529.64,1,3
6212.07,7140.36,1570.08,1,3
6207.09,7145.34,1556.83,1,3
6202.11,7150.32,1543.59,1,3
6235.59,7082.22,1537.27,1,3
6235.59,7082.22,1523.3,1,3
6235.59,7082.22,1509.33,3,3
6235.59,7082.22,1494.33,3,3
6235.59,7082.22,1479.33,3,3
6235.59,7082.22,1464.33,2,3
6235.59,7082.22,1449.33,2,3
6235.59,7082.22,1434.33,2,3
6235.59,7082.22,1419.33,2,3
6235.59,7082.22,1404.33,2,3
6575.19,7313.94,1648.91,1,1
6575.19,7313.94,1633.91,1,1
6575.19,7313.94,1618.91,1,1
6575.19,7313.94,1610.16,1,1
