X,Y,Z,FieldValue,SampleSiteName
1003.76,2448.51,1749,1.5,DH001
1003.71,2453.22,1732.66,1.5,DH001
1003.7,2454.89,1726.9,1.5,DH001
1003.69,2455.72,1724.02,0.5,DH001
1063.77,2461.65,1729.4,1.5,DH002
1063.71,2460.88,1725.48,0.5,DH002
1023.7,2421.92,1724.1,0.5,DH003
1023.69,2424.6,1715.51,0.5,DH003
1043.8,2429.36,1756.12,1.5,DH004
1043.81,2427.79,1747.25,0.5,DH004
1063.82,2434.72,1755.18,1.5,DH005
1063.85,2433.37,1746.28,0.5,DH005
1043.78,2391.75,1744.75,1.5,DH006
1043.8,2388.77,1723.98,0.5,DH006
1003.76,2357.71,1740.76,1.5,DH007
1003.78,2362.89,1723.53,1.5,DH007
1003.77,2365.29,1714.85,1.5,DH007
1003.77,2367.51,1707.17,0.5,DH007
1083.74,2403.17,1753.57,1.5,DH008
1083.77,2403.79,1743.59,0.5,DH008
1063.75,2381.11,1733.3,1.5,DH009
1063.74,2380.27,1716.32,0.5,DH009
1023.78,2346.36,1720.92,0.5,DH010
1023.81,2348.1,1706.02,0.5,DH010
1043.7,2346.4,1741.26,1.5,DH011
1043.67,2342.78,1735.26,0.5,DH011
1083.76,2363.45,1733.02,1.5,DH012
1083.76,2358.22,1720.04,1.5,DH012
1083.75,2354.91,1712.76,1.5,DH012
1083.73,2351.65,1705.45,0.5,DH012
1023.7,2331.22,1739.09,1.5,DH013
1023.69,2331.82,1735.14,0.5,DH013
1003.75,2314.56,1736.01,1.5,DH014
1003.76,2316.23,1731.3,0.5,DH014
1083.7,2342.02,1740.63,1.5,DH015
1083.6,2337.46,1735.34,0.5,DH015
1063.76,2309.6,1734.63,1.5,DH016
1063.71,2310.06,1728.65,0.5,DH016
