X,Y,Z,XVec,YVec,ZVec
1045.399,2314.129,1735.685,-0.001494621,-0.251843562,0.967766804
1046.687,2352.293,1737.676,0.001803629,0.271145557,0.962536666
1046.683,2355.896,1730.042,-0.006850095,0.961582126,0.274431942
1046.695,2354.101,1713.297,-0.005572334,0.809938674,0.586488101
1046.734,2348.656,1722.85,-0.003771224,0.522485986,-0.852639532
1046.469,2386.605,1721.141,0.004965958,-0.716960223,0.69709639
1046.159,2430.997,1751.05,-0.001627294,0.212361803,0.977189755
1046.333,2406.034,1749.499,0.002712369,-0.380816614,0.924646608
1045.994,2454.633,1737.312,-0.007089817,0.988875292,0.148577896
1046.252,2417.643,1717.635,-0.006585146,0.937094851,0.349012717
1046.196,2425.6,1727.325,-0.004156244,0.630615627,-0.776084181
1045.904,2467.464,1731.828,0.002953547,-0.405901789,0.913911929
1046.054,2445.993,1722.042,0.003479045,-0.511419599,0.859324089
