X,Y,Z,RockUnit,ALT,Sample Site Name
2992.4,5424.3,2640.8,1,13,51-57
2992.4,5424.3,2625.8,1,13,51-57
2992.4,5424.3,2610.8,1,13,51-57
2992.4,5424.3,2600.85,1,13,51-57
3037.7,4767.04,2646,2,16,Jan-81
3037.7,4779.33,2637.39,2,16,Jan-81
3037.7,4791.62,2628.79,2,16,Jan-81
3037.7,4803.91,2620.19,2,16,Jan-81
3037.7,4816.19,2611.58,2,16,Jan-81
3037.7,4828.48,2602.98,2,16,Jan-81
3037.7,4840.77,2594.38,2,16,Jan-81
3037.7,4853.05,2585.77,2,16,Jan-81
3037.7,4865.34,2577.17,2,16,Jan-81
3037.7,4877.63,2568.57,2,16,Jan-81
3037.7,4889.92,2559.96,2,16,Jan-81
3037.7,4902.2,2551.36,2,16,Jan-81
3037.7,4914.49,2542.75,2,16,Jan-81
3037.7,4926.78,2534.15,2,16,Jan-81
3037.7,4939.07,2525.55,2,16,Jan-81
3037.7,4951.35,2516.94,2,16,Jan-81
3037.7,4959.54,2511.21,2,16,Jan-81
2645.2,4813.5,2665.8,2,13,Feb-81
2645.2,4813.5,2650.8,2,15,Feb-81
2645.2,4813.5,2635.8,2,15,Feb-81
2645.2,4813.5,2620.8,2,14,Feb-81
2645.2,4813.5,2605.8,2,13,Feb-81
2645.2,4813.5,2590.8,2,13,Feb-81
2645.2,4813.5,2575.8,2,13,Feb-81
2645.2,4813.5,2560.8,2,13,Feb-81
2645.2,4813.5,2545.8,2,13,Feb-81
2645.2,4813.5,2530.8,2,13,Feb-81
2645.2,4813.5,2515.8,2,13,Feb-81
2645.2,4813.5,2500.8,2,13,Feb-81
2645.2,4813.5,2485.8,2,13,Feb-81
2645.2,4813.5,2470.8,2,13,Feb-81
2645.2,4813.5,2461.8,2,13,Feb-81
2801,4796,2650.4,2,16,Mar-81
2801,4796,2635.4,2,16,Mar-81
2801,4796,2620.4,2,16,Mar-81
2801,4796,2605.4,2,16,Mar-81
2801,4796,2590.4,2,15,Mar-81
2801,4796,2575.4,2,15,Mar-81
2801,4796,2560.4,2,15,Mar-81
2801,4796,2545.4,2,15,Mar-81
2801,4796,2530.4,2,15,Mar-81
2801,4796,2515.85,2,14,Mar-81
2349.1,4868.1,2667.5,2,13,Apr-81
2349.1,4868.1,2652.5,2,15,Apr-81
2349.1,4868.1,2637.5,2,15,Apr-81
2349.1,4868.1,2622.5,2,15,Apr-81
2349.1,4868.1,2607.5,2,15,Apr-81
2349.1,4868.1,2598.5,2,15,Apr-81
2429.7,4870.5,2664.2,2,14,May-81
2429.7,4870.5,2649.2,2,15,May-81
2429.7,4870.5,2634.2,2,15,May-81
2429.7,4870.5,2619.2,2,15,May-81
2429.7,4870.5,2604.2,2,15,May-81
2429.7,4870.5,2589.2,2,15,May-81
2429.7,4870.5,2574.2,2,15,May-81
2429.7,4870.5,2559.2,2,15,May-81
2429.7,4870.5,2544.2,2,15,May-81
2429.7,4870.5,2529.2,2,15,May-81
2429.7,4870.5,2514.2,2,15,May-81
2429.7,4870.5,2499.2,2,15,May-81
2429.7,4870.5,2484.2,2,15,May-81
2429.7,4870.5,2474.18,2,15,May-81
2538.5,4844.5,2662.5,2,,Jun-81
2538.5,4844.5,2647.5,2,15,Jun-81
2538.5,4844.5,2632.5,2,15,Jun-81
2538.5,4844.5,2617.5,2,15,Jun-81
2538.5,4844.5,2602.5,2,15,Jun-81
2538.5,4844.5,2587.5,2,15,Jun-81
2538.5,4844.5,2572.5,2,15,Jun-81
2538.5,4844.5,2557.5,2,15,Jun-81
2538.5,4844.5,2542.5,2,15,Jun-81
2538.5,4844.5,2527.5,2,15,Jun-81
2538.5,4844.5,2512.5,2,15,Jun-81
2538.5,4844.5,2497.5,2,15,Jun-81
2538.5,4844.5,2484,2,15,Jun-81
2842.4,4856.3,2645.6,2,12,Jul-81
2842.4,4856.3,2630.6,2,13,Jul-81
2842.4,4856.3,2615.6,2,13,Jul-81
2842.4,4856.3,2600.6,2,13,Jul-81
2842.4,4856.3,2585.6,2,13,Jul-81
2842.4,4856.3,2570.6,2,13,Jul-81
2842.4,4856.3,2555.6,2,13,Jul-81
2842.4,4856.3,2540.6,2,13,Jul-81
2842.4,4856.3,2525.6,2,13,Jul-81
2842.4,4856.3,2510.6,2,13,Jul-81
2842.4,4856.3,2495.6,2,13,Jul-81
2842.4,4856.3,2480.6,2,13,Jul-81
2842.4,4856.3,2465.6,2,13,Jul-81
2842.4,4856.3,2450.6,2,13,Jul-81
2842.4,4856.3,2437.1,2,13,Jul-81
2956.8,4934.8,2642.7,2,13,Aug-81
2956.8,4934.8,2627.7,2,13,Aug-81
2956.8,4934.8,2613.7,2,13,Aug-81
2449.1,4961.5,2661.6,2,15,Sep-81
2449.1,4961.5,2646.6,2,15,Sep-81
2449.1,4961.5,2631.6,2,15,Sep-81
2449.1,4961.5,2616.6,2,15,Sep-81
2449.1,4961.5,2601.6,2,15,Sep-81
2449.1,4961.5,2586.6,2,15,Sep-81
2449.1,4961.5,2571.6,2,13,Sep-81
2449.1,4961.5,2556.6,2,13,Sep-81
2449.1,4961.5,2541.6,2,13,Sep-81
2449.1,4961.5,2526.6,2,13,Sep-81
2449.1,4961.5,2511.6,2,13,Sep-81
2449.1,4961.5,2496.6,2,13,Sep-81
2449.1,4961.5,2481.6,2,13,Sep-81
2449.1,4961.5,2472.6,1,13,Sep-81
