X,Y,Z,RockUnit,Lith Code
6796.9,6358.9,1765.84,1,3
6796.9,6358.9,1750.84,1,3
6796.9,6358.9,1735.84,1,3
6796.9,6358.9,1720.84,1,3
6796.9,6358.9,1705.84,1,3
6796.9,6358.9,1690.84,1,3
6796.9,6358.9,1675.84,1,3
6796.9,6358.9,1660.84,1,3
6796.9,6358.9,1645.84,1,3
6796.9,6358.9,1630.84,1,3
6796.9,6358.9,1615.84,1,3
6796.9,6358.9,1600.84,2,3
6796.9,6358.9,1585.84,2,3
6796.9,6358.9,1570.84,2,3
6796.9,6358.9,1555.84,2,3
6796.9,6358.9,1540.84,2,3
6796.9,6358.9,1525.84,2,3
6796.9,6358.9,1510.84,2,3
6796.9,6358.9,1495.84,3,3
6796.9,6358.9,1480.84,3,3
6796.9,6358.9,1465.84,3,3
6796.9,6358.9,1450.84,3,3
6796.9,6358.9,1435.84,3,3
6796.9,6358.9,1420.84,3,3
6796.9,6358.9,1405.84,3,3
6796.9,6358.9,1390.84,3,3
6796.9,6358.9,1375.84,3,3
6937.3,6052.8,1666.47,1,2
6937.3,6052.8,1651.47,1,2
6937.3,6052.8,1636.47,1,2
6937.3,6052.8,1621.47,1,2
6937.3,6052.8,1606.47,1,2
6937.3,6052.8,1591.47,2,2
6937.3,6052.8,1576.47,2,2
6937.3,6052.8,1561.47,2,2
6937.3,6052.8,1546.47,2,2
6937.3,6052.8,1531.47,2,2
6937.3,6052.8,1516.47,2,2
6937.3,6052.8,1501.47,2,2
6937.3,6052.8,1486.47,2,2
6937.3,6052.8,1471.47,2,2
6937.3,6052.8,1456.47,2,3
6937.3,6052.8,1441.47,2,3
6937.3,6052.8,1426.47,2,3
6937.3,6052.8,1411.47,2,3
6937.3,6052.8,1396.47,2,3
7175.2,6256.1,1610.76,1,2
7175.2,6256.1,1595.76,1,2
7175.2,6256.1,1580.76,1,2
7175.2,6256.1,1565.76,2,2
7175.2,6256.1,1550.76,2,2
7175.2,6256.1,1535.76,2,2
7175.2,6256.1,1520.76,2,2
7175.2,6256.1,1505.76,2,2
7175.2,6256.1,1490.76,2,2
7175.2,6256.1,1475.76,2,2
7175.2,6256.1,1460.76,2,2
7175.2,6256.1,1445.76,2,2
7175.2,6256.1,1430.76,2,2
7175.2,6256.1,1415.76,3,2
7175.2,6256.1,1400.76,3,2
7175.2,6256.1,1385.76,3,2
6634.5,5873.9,1568.09,1,4
6634.5,5873.9,1553.09,1,4
6634.5,5873.9,1538.09,1,4
6634.5,5873.9,1523.09,1,4
6634.5,5873.9,1508.09,2,4
6634.5,5873.9,1493.09,2,4
6634.5,5873.9,1478.09,2,2
6634.5,5873.9,1463.09,2,2
6634.5,5873.9,1448.09,2,2
6634.5,5873.9,1433.09,2,2
6634.5,5873.9,1418.09,2,2
6634.5,5873.9,1403.09,3,2
6964.6,5821.7,1543.74,1,4
6964.6,5821.7,1528.74,1,4
6964.6,5821.7,1513.74,2,2
6964.6,5821.7,1498.74,2,2
6964.6,5821.7,1483.74,2,2
6964.6,5821.7,1468.74,2,2
6964.6,5821.7,1453.74,2,2
6964.6,5821.7,1438.74,2,2
6964.6,5821.7,1423.74,2,2
6964.6,5821.7,1408.74,2,2
6964.6,5821.7,1393.74,2,2
6964.6,5821.7,1378.74,2,2
6964.6,5821.7,1363.74,2,2
6972,6648.1,1632.57,1,1
6972,6648.1,1617.57,1,1
6972,6648.1,1602.57,2,1
6972,6648.1,1587.57,2,1
6972,6648.1,1572.57,2,1
6972,6648.1,1557.57,2,1
6972,6648.1,1542.57,2,1
6972,6648.1,1527.57,2,1
6972,6648.1,1512.57,2,1
6972,6648.1,1497.57,2,1
6972,6648.1,1482.57,2,1
6972,6648.1,1467.57,2,1
6972,6648.1,1452.57,3,1
6972,6648.1,1437.57,3,1
7325.9,6493.9,1496.81,1,3
7325.9,6493.9,1481.81,1,3
7325.9,6493.9,1466.81,2,3
7325.9,6493.9,1451.81,2,3
7325.9,6493.9,1436.81,2,3
7325.9,6493.9,1421.81,2,3
7325.9,6493.9,1406.81,2,3
7325.9,6493.9,1391.81,2,3
7325.9,6493.9,1376.81,2,3
7325.9,6493.9,1361.81,3,3
7325.9,6493.9,1346.81,3,3
7325.9,6493.9,1331.81,3,3
7325.9,6493.9,1316.81,3,3
7325.9,6493.9,1301.81,3,3
7325.9,6493.9,1286.81,3,3
7325.9,6493.9,1271.81,3,3
6778.2,5741.9,1469.76,1,4
6778.2,5741.9,1454.76,1,4
6778.2,5741.9,1439.76,2,4
6778.2,5741.9,1424.76,2,4
